Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
19:21:37 Jul 16 2025,90,78,41,0,0
19:21:39 Jul 16 2025,90,78,15,0,0
19:21:41 Jul 16 2025,90,78,13,0,0
19:21:43 Jul 16 2025,90,78,22,0,0
19:21:45 Jul 16 2025,90,78,11,0,0
19:21:47 Jul 16 2025,90,78,11,0,0
19:21:49 Jul 16 2025,90,78,14,0,0
19:21:51 Jul 16 2025,90,78,17,0,0
19:21:53 Jul 16 2025,93,78,9,0,0
19:21:55 Jul 16 2025,93,78,4,0,0
19:21:57 Jul 16 2025,91,75,11,0,0
19:21:59 Jul 16 2025,93,78,19,0,0
19:22:01 Jul 16 2025,92,77,12,0,0
19:22:03 Jul 16 2025,92,78,24,0,0
19:22:05 Jul 16 2025,93,77,6,0,0
19:22:07 Jul 16 2025,93,77,3,0,0
19:22:09 Jul 16 2025,93,77,7,0,0
19:22:11 Jul 16 2025,93,77,20,0,0
19:22:13 Jul 16 2025,93,77,18,0,0
19:22:15 Jul 16 2025,93,77,36,0,0
19:22:17 Jul 16 2025,93,77,2,0,0
19:22:19 Jul 16 2025,93,77,22,0,0
19:22:21 Jul 16 2025,93,77,10,0,0
19:22:23 Jul 16 2025,93,77,12,0,0
19:22:25 Jul 16 2025,93,77,28,0,0
19:22:27 Jul 16 2025,93,77,16,0,0
19:22:29 Jul 16 2025,93,77,3,0,0
19:22:31 Jul 16 2025,93,77,1,0,0
19:22:33 Jul 16 2025,93,77,1,0,0
19:22:35 Jul 16 2025,93,77,0,0,0
19:22:37 Jul 16 2025,93,77,18,0,0
19:22:39 Jul 16 2025,93,78,3,0,0
19:22:41 Jul 16 2025,93,77,8,0,0
19:22:43 Jul 16 2025,93,78,5,0,0
19:22:45 Jul 16 2025,93,78,5,0,0
19:22:47 Jul 16 2025,93,78,0,0,0
19:22:49 Jul 16 2025,93,79,0,0,0
19:22:51 Jul 16 2025,93,79,1,0,0
19:22:53 Jul 16 2025,93,80,2,0,0
19:22:55 Jul 16 2025,93,80,0,0,0
19:22:57 Jul 16 2025,93,81,21,0,0
19:22:59 Jul 16 2025,93,81,1,0,0
19:23:01 Jul 16 2025,93,81,0,0,0
19:23:03 Jul 16 2025,93,77,3,0,0
19:23:05 Jul 16 2025,93,74,1,0,0
19:23:07 Jul 16 2025,93,72,0,0,0
19:23:09 Jul 16 2025,93,70,0,0,0
19:23:11 Jul 16 2025,93,70,0,0,0
19:23:13 Jul 16 2025,93,69,0,0,0
19:23:15 Jul 16 2025,93,69,0,0,0
19:23:17 Jul 16 2025,93,69,0,0,0
19:23:19 Jul 16 2025,94,76,3,0,0
19:23:21 Jul 16 2025,95,79,1,0,0
19:23:23 Jul 16 2025,96,82,0,0,0
19:23:25 Jul 16 2025,97,84,1,0,0
19:23:27 Jul 16 2025,97,85,1,0,0
19:23:29 Jul 16 2025,97,85,6,0,0
19:23:31 Jul 16 2025,97,86,6,0,0
19:23:33 Jul 16 2025,97,88,2,0,0
19:23:35 Jul 16 2025,97,88,3,0,0
19:23:37 Jul 16 2025,97,89,4,0,0
19:23:39 Jul 16 2025,97,89,20,0,0
19:23:41 Jul 16 2025,97,89,0,0,0
19:23:43 Jul 16 2025,97,89,3,0,0
19:23:45 Jul 16 2025,97,89,4,0,0
19:23:47 Jul 16 2025,97,89,2,0,0
19:23:49 Jul 16 2025,97,89,3,0,0
19:23:51 Jul 16 2025,97,89,0,0,0
19:23:53 Jul 16 2025,97,89,0,0,0
19:23:55 Jul 16 2025,96,88,0,0,0
19:23:57 Jul 16 2025,96,87,0,0,0
19:23:59 Jul 16 2025,96,86,0,0,0
19:24:01 Jul 16 2025,95,85,0,0,0
19:24:03 Jul 16 2025,95,85,5,0,0
19:24:05 Jul 16 2025,96,85,1,0,0
19:24:07 Jul 16 2025,96,86,0,0,0
19:24:09 Jul 16 2025,96,86,0,0,0
19:24:11 Jul 16 2025,96,86,0,0,0
19:24:13 Jul 16 2025,96,85,0,0,0
19:24:15 Jul 16 2025,97,83,0,0,0
19:24:17 Jul 16 2025,97,83,0,0,0
19:24:19 Jul 16 2025,98,82,0,0,0
19:24:21 Jul 16 2025,98,82,0,0,0
19:24:23 Jul 16 2025,98,82,0,0,0
19:24:25 Jul 16 2025,98,83,1,0,0
19:24:27 Jul 16 2025,98,83,16,0,0
19:24:29 Jul 16 2025,97,83,6,0,0
19:24:31 Jul 16 2025,97,84,0,0,0
19:24:33 Jul 16 2025,97,85,0,0,0
19:24:35 Jul 16 2025,97,85,0,0,0
19:24:37 Jul 16 2025,97,86,9,0,0
19:24:39 Jul 16 2025,97,87,1,0,0
19:24:41 Jul 16 2025,97,87,0,0,0
19:24:43 Jul 16 2025,97,87,0,0,0
19:24:45 Jul 16 2025,97,88,0,0,0
19:24:47 Jul 16 2025,97,87,0,0,0
19:24:49 Jul 16 2025,97,87,0,0,0
19:24:51 Jul 16 2025,97,86,0,0,0
19:24:53 Jul 16 2025,97,86,0,0,0
19:24:55 Jul 16 2025,97,86,0,0,0
19:24:57 Jul 16 2025,97,86,0,0,0
19:24:59 Jul 16 2025,97,86,0,0,0
19:25:01 Jul 16 2025,97,85,13,0,0
19:25:03 Jul 16 2025,97,85,4,0,0
19:25:05 Jul 16 2025,98,84,0,0,0
19:25:07 Jul 16 2025,98,84,0,0,0
19:25:09 Jul 16 2025,98,84,2,0,0
19:25:11 Jul 16 2025,97,84,0,0,0
19:25:13 Jul 16 2025,96,84,0,0,0
19:25:15 Jul 16 2025,96,84,0,0,0
19:25:17 Jul 16 2025,95,85,0,0,0
19:25:19 Jul 16 2025,95,86,0,0,0
19:25:21 Jul 16 2025,95,86,0,0,0
19:25:23 Jul 16 2025,95,87,0,0,0
19:25:25 Jul 16 2025,95,87,0,0,0
19:25:27 Jul 16 2025,95,87,0,0,0
19:25:29 Jul 16 2025,95,87,0,0,0
19:25:31 Jul 16 2025,95,87,0,0,0
19:25:33 Jul 16 2025,95,86,0,0,0
19:25:35 Jul 16 2025,94,86,0,0,0
19:25:37 Jul 16 2025,94,86,0,0,0
19:25:39 Jul 16 2025,95,86,17,0,0
19:25:41 Jul 16 2025,95,86,13,0,0
19:25:43 Jul 16 2025,95,86,0,0,0
19:25:45 Jul 16 2025,95,86,0,0,0
19:25:47 Jul 16 2025,95,86,0,0,0
19:25:49 Jul 16 2025,95,86,0,0,0
19:25:51 Jul 16 2025,96,86,0,0,0
19:25:53 Jul 16 2025,96,86,0,0,0
19:25:55 Jul 16 2025,97,86,0,0,0
19:25:57 Jul 16 2025,97,86,0,0,0
19:25:59 Jul 16 2025,97,86,0,0,0
19:26:01 Jul 16 2025,97,85,0,0,0
19:26:03 Jul 16 2025,97,85,0,0,0
19:26:05 Jul 16 2025,97,85,0,0,0
19:26:07 Jul 16 2025,97,84,0,0,0
19:26:09 Jul 16 2025,97,83,0,0,0
